Account,classification,total_pnl,avg_trade_size,trade_count,win_rate,total_fees
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,124769.221441,15071.008600000001,100,37.0,143.991995
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,-40282.335904,12080.27055026455,945,6.666666666666667,1795.973591
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1113373.547515,17020.494876265468,1778,52.64341957255343,3245.845752
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,276719.270187,15134.130383275262,574,16.02787456445993,918.352858
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,125650.11674,23336.999311163898,421,58.19477434679335,1301.148108
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,-4235.153050999999,2156.074411764706,170,30.0,63.29054718
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,35658.894935000004,1846.6767272727272,825,57.6969696969697,442.18215349
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-1658.7368009999998,981.595171624714,2622,47.82608695652174,576.03277151
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,30053.395556,2204.2242779476724,2943,40.16309887869521,1386.71850896
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,-11933.080125,1506.4890555555558,720,36.11111111111111,261.61390739
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,16706.884912,6131.710464240904,797,37.641154328732746,1181.135135
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,1793.1602149999999,31941.660000000003,5,80.0,34.662051
0x271b280974205ca63b716753467d5a371de622ab,Fear,30121.91049,7222.6180513918625,1868,38.22269807280514,3916.842206
0x271b280974205ca63b716753467d5a371de622ab,Greed,-100019.806374,19419.792833333337,540,24.444444444444443,2760.289908
0x271b280974205ca63b716753467d5a371de622ab,Neutral,-19038.340561,8093.856811352254,599,0.0,1388.05355
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,-25666.012284,806.9836411149826,574,28.745644599303137,154.006218275
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,108009.960644,438.0787434834915,7481,44.44592968854431,1131.28972511
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,13422.524859,656.0465117941386,1399,43.03073624017155,269.576032127
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,31192.591971,501.44102693602696,2970,44.84848484848485,492.24852719
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,5505.749364,687.0997632468997,887,46.674182638105975,171.2468637489
